公司名称,职位,工作地点,薪资,发布时间
研发经理（北斗/GNSS）,武汉珞珈德毅科技股份有限公司,武汉-洪山区,0.8-1.5万/月,5月22日
移动端开发工程师,武汉开普伟业科技有限公司,武汉,0.8-1万/月,5月22日
生产技术员,湖北高通空间技术有限责任公司,武汉-洪山区,4-5千/月,5月22日
高级测试经理,武汉东信同邦信息技术有限公司,武汉,0.6-1万/月,5月22日
测试工程师（武汉）,杭州友声科技股份有限公司,武汉-东西湖区,3.5-7千/月,5月24日
软件实施经理,融威伟业（武汉）信息技术有限公司,武汉-江汉区,0.5-1万/月,5月22日
测试开发工程师,湖北百旺金赋科技有限公司,武汉-东湖新技...,1-1.5万/月,5月23日
高级软件工程师,上海以朴信息科技有限公司,武汉-武汉经济...,1.2-1.7万/月,5月24日
嵌入式软件开发工程师（五险一金+节日福利+年终奖金）,武汉飞流智能技术有限公司,武汉,1-1.2万/月,5月21日
技术支持工程师,武汉智觉空间信息技术有限公司,武汉-洪山区,4.5-6千/月,5月8日
监理工程师,广州赛宝联睿信息科技有限公司,武汉,4-6.5千/月,5月21日
测试开发工程师（电机控制器方向） 武汉,上海金脉电子科技有限公司,武汉-洪山区,0.6-1.2万/月,5月21日
综合测试系统软件设计,航天行云科技有限公司,武汉-东西湖区,1.5-2万/月,5月21日
嵌入式开发工程师,武汉泽尔电力科技有限公司,武汉-江夏区,0.8-1.2万/月,5月21日
Web测试工程师,南京市秦淮区巩向明软件开发工作室,武汉-东西湖区,4.5-6千/月,5月24日
Windows测试经理,诚迈科技（武汉分公司）—武汉诚迈科技有限公司,武汉-东湖新技...,1.4-1.8万/月,5月20日
中高级自动化测试,上海汉得信息技术股份有限公司,武汉,19-22万/年,5月20日
防火墙高级测试工程师,北京安博通科技股份有限公司（武汉分部）,武汉-东湖新技...,1-1.8万/月,5月20日
性能测试工程师（常驻武汉保利职场）,上海睿天信息技术有限公司,武汉-洪山区,5-7千/月,5月20日
高级测试工程师（武汉）,江西国泰利民信息科技有限公司,武汉-洪山区,0.8-1.6万/月,5月20日
国产测试软件区域或行业销售总监,湖南泛联新安信息科技有限公司,异地招聘,0.8-2万/月,5月20日
协议测试工程师,武汉虹信通信技术有限责任公司,武汉-江夏区,0.8-1万/月,5月20日
助理工程师,武汉普赛斯电子技术有限公司,武汉,2-3千/月,5月20日
资深无源测试工程师 （TE leader）,武汉奥新科技有限公司,武汉,1.5-2万/月,5月20日
用友咨询顾问,武汉创想外码科技有限公司,武汉-洪山区,0.8-1万/月,5月19日
技术顾问（英语方向）（武汉）,国际商业机器（中国）有限公司,武汉,,5月19日
全职-技术顾问（英语方向）（武汉）,IBM2019应届生招聘项目,武汉,,5月19日
测试工程师（校招）,武汉微派网络科技有限公司,武汉-洪山区,0.8-1.5万/月,5月18日
管理培训生,武汉小象创意科技有限公司,武汉-武昌区,0.8-1万/月,5月18日
设计主管-武汉电信光电科技有限公司,中国通信服务股份有限公司,武汉,,5月18日
手机维修/检测工程师,深圳回收宝科技有限公司,武汉-东西湖区,0.5-1万/月,5月17日
游戏测试 包食宿180518x,上海如创网络技术有限公司,异地招聘,6-8千/月,5月17日
JAVA项目经理,武汉中科图灵科技有限公司,武汉,0.8-1.2万/月,5月17日
视频测试工程师-武汉,北京小鱼易连科技有限公司,武汉,1-2万/月,5月17日
C/C++软件开发工程师（证券交易系统方向）,上海金仕达软件科技有限公司,武汉-武昌区,1-2万/月,3月27日
武汉测试（中高级）,上海康嘉信息技术有限公司,武汉-洪山区,6-8千/月,5月17日
显控设计师,航天南湖电子信息技术股份有限公司,武汉-江岸区,1.5-2万/月,5月17日
游戏测试（手游）,武汉东方幻想网络科技有限公司,武汉-江汉区,4.5-6千/月,5月16日
嵌入式软件系统工程师,武汉猎隼科技有限公司,武汉-洪山区,0.9-1.2万/月,5月16日
测试工程师-武汉(J10300),北京天融信科技有限公司,武汉,1-1.5万/月,5月16日
网络管理员,武汉融侨置业有限公司,武汉,6-8万/年,5月15日
.NET开发工程师,武汉星辰北斗科技有限公司,武汉-武昌区,6-8千/月,5月15日
软件工程师（2019应届生）,法雷奥舒适及驾驶辅助系统武汉技术中心,武汉,,5月14日
软件售前售后工程师,银川天和伟业科技有限公司,异地招聘,4.5-6千/月,5月14日
动力总成电子电器测试工程师,艾西斯腾技术咨询（上海）有限公司,武汉-汉阳区,10-15万/年,5月14日
IT技术支持工程师,武汉裕亚捷科技有限公司,武汉,3-4.9千/月,5月14日
测试认证工程师（初级）,上海伟世通汽车电子系统有限公司武汉分公司,武汉-武汉经济...,6-8万/年,5月13日
电仪工程师,江阴恒阳物流集团,武汉,6-8千/月,5月13日
性能测试工程师-武汉,深圳市丰巢科技有限公司,武汉-东湖新技...,1-1.5万/月,5月10日
ISP图像工程师,武汉高思光电科技有限公司,武汉-江夏区,1-2万/月,5月9日
硬件测试工程师,武汉泰乐奇信息科技有限公司,武汉-洪山区,6-8千/月,5月9日
JAVA 软件开发,上海富勒信息科技有限公司,武汉-江岸区,4-6千/月,5月9日
周末讲师,北京中科信软科技有限公司,异地招聘,3-4万/月,5月7日
前端 \ 测试工程师（技术中心）,武汉华氏文物市场管理有限公司,武汉-江汉区,0.8-1万/月,5月7日
平板测试工程师,技德技术研究所（武汉）有限公司,武汉-东西湖区,0.7-1.5万/月,5月7日
C/C++技术工程师,武汉数字云网络科技有限公司,武汉-东湖新技...,1-2万/月,5月7日
产品测试,武汉古慕派网络科技有限公司,武汉-洪山区,3-4.5千/月,5月6日
.NET中级开发工程师,武汉卓育软件开发有限公司,武汉,0.5-1万/月,5月6日
QA测试工程师,Thoughtworks,武汉-洪山区,1.2-2万/月,5月5日
IT Test Automation Senior Engineer（工作地天津）,捷信消费金融有限公司,异地招聘,1-1.5万/月,5月4日
测试实施工程师,湖北公众信息产业有限责任公司,武汉-东西湖区,4.5-6千/月,5月4日
互联网产品经理,武汉珈卓众创空间管理有限公司,武汉-武昌区,0.7-1.2万/月,4月30日
测试开发工程师(J10655),绿盟科技,武汉-东湖新技...,1-1.5万/月,4月30日
Web前端开发工程师,武汉德威热力股份有限公司,武汉-青山区,6-8千/月,4月30日
终端测试工程师-技术中心-武汉,科大讯飞股份有限公司,武汉,1.5-2万/月,4月28日
AMT控制工程师,丰疆智能科技股份有限公司,武汉-武汉经济...,1.5-2.5万/月,4月28日
质量管理工程师,武汉凌安科技有限公司,武汉-武昌区,4-8千/月,4月28日
银行测试工程师,神州数码系统集成服务有限公司上海分公司,武汉,0.8-1.3万/月,4月28日
后台运维/软件工程师/技术支持/数据库,亿企赢网络科技有限公司湖北分公司,武汉-武昌区,0.6-1万/月,4月27日
软件工程师（PC方向）,武汉华美艾普科技有限公司,武汉,1-1.8万/月,4月25日
计算机系统验证工程师,武汉点风信息科技有限公司,武汉-洪山区,6-8千/月,4月22日
配置测试工程师,武汉展盛科技有限公司,武汉-江汉区,4-6千/月,4月20日
研发工程师,湖北方圆环保科技有限公司,武汉,4.5-6千/月,4月17日
高级测试工程师-武汉,北京天健源达科技股份有限公司,武汉,0.8-1万/月,4月16日
行政人事实习,上海钢联物流股份有限公司,武汉-东湖新技...,2-3千/月,4月15日
ERP高级测试工程师,重庆金算盘软件有限公司武汉分公司,武汉,0.6-1.2万/月,4月15日
自动化测试开发工程师,深圳市易思博酷客科技有限公司,武汉-东湖新技...,6-9千/月,4月9日
嵌入式 Linux 驱动工程师,武汉芯宸嵌入式技术有限公司,武汉-洪山区,1-1.8万/月,4月4日
测试工程师（银行项目）,文思海辉金融,武汉,1-1.5万/月,3月31日
测试经理（CTY06）,湖北省楚天云有限公司,武汉,1.5-2万/月,3月30日
平台测试专员,武汉新新海健康科技有限公司,武汉-东湖新技...,3-5千/月,3月27日
武汉市招商 城市经理（AI智能名片 社区团购 小程序）,山东嗨明网络科技有限公司,武汉,1-1.5万/月,3月25日
软件测试工程师（实习）,远光软件股份有限公司武汉研发中心,武汉,1-3千/月,5月24日
AI智能名片.小程序.社区团购.互联网新商机,山东微程信息技术有限公司,武汉,1.5-3万/月,5月23日
测试主管（非外包）,软通动力信息技术（集团）有限公司,武汉,1.2-1.5万/月,3月29日
游戏软件测试工程师,南京问持新能源科技有限公司,武汉-江夏区,4-8千/月,5月24日
软件测试实习岗+双休+五险一金,武汉华工科固建筑技术工程有限公司,武汉-洪山区,4.5-6千/月,5月24日
游戏软件测试实习生,武汉华工科固建筑技术工程有限公司,武汉-洪山区,4.5-6千/月,5月24日
软件测试工程师（14薪、不加班）,武汉华工科固建筑技术工程有限公司,武汉-洪山区,4.5-6千/月,5月24日
软件测试实习生（双休、不加班）,武汉华工科固建筑技术工程有限公司,武汉-洪山区,4.5-6千/月,5月24日
软件测试工程师（烽火外包）,武汉新创云图科技有限公司,武汉-洪山区,0.5-1万/月,5月24日
集中器软件测试工程师,武汉盛帆电子股份有限公司,武汉,6-8千/月,5月24日
软件测试工程师/武汉,深圳市前海亿车科技有限公司,武汉-东湖新技...,4-7千/月,5月24日
嵌入式软件测试工程师（储备）,南京市秦淮区巩向明软件开发工作室,武汉-东西湖区,4.5-6千/月,5月24日
储备岗软件测试实习生,南京市秦淮区巩向明软件开发工作室,武汉-东西湖区,4.5-6千/月,5月24日
自动化、电子电气转行软件测试,南京市秦淮区巩向明软件开发工作室,武汉-东西湖区,4.5-6千/月,5月24日
金融软件测试,南京市秦淮区巩向明软件开发工作室,武汉-东西湖区,4.5-6千/月,5月24日
软件测试急招/接受实习生,南京市秦淮区巩向明软件开发工作室,武汉-东西湖区,4.5-6千/月,5月24日
19届实习生-软件测试,南京市秦淮区巩向明软件开发工作室,武汉-东西湖区,3-4.5千/月,5月24日
软件测试实习生(在校生),南京市秦淮区巩向明软件开发工作室,异地招聘,3-4.5千/月,5月24日
JAVA软件测试实习生,南京市秦淮区巩向明软件开发工作室,异地招聘,3-4.5千/月,5月24日
高级软件测试工程师-武汉-01781,京北方信息技术股份有限公司,武汉,1-1.5万/月,5月24日
中级软件测试工程师-武汉-01780,京北方信息技术股份有限公司,武汉,0.8-1万/月,5月24日
android软件测试工程师/测试工程师,中讯志远（武汉）科技有限公司,武汉-武昌区,0.8-1万/月,5月24日
软件测试/开发助理岗（双休）,湖北昭华慧成健康科技有限公司,武汉-武昌区,4.5-7.5千/月,5月23日
Java软件测试/开发助理+双休,湖北昭华慧成健康科技有限公司,武汉-武昌区,4.5-7.5千/月,5月23日
